date,hour,官园,奥体中心,农展馆,万柳,北部新区
20200218,0,29,,20,28,44
20200218,1,28,29,28,26,24
20200218,2,23,32,,28,27
20200218,3,27,19,27,34,
20200218,4,16,,,28,
20200218,5,,13,,26,24
20200218,6,14,9,,20,20
20200218,7,18,13,13,23,20
20200218,8,24,16,19,23,25
20200218,9,18,20,16,,30
20200218,10,16,13,,28,
20200218,11,13,16,15,,51
20200218,12,16,17,,25,21
20200218,13,,14,,,
20200218,14,20,18,,,21
20200218,15,27,26,19,17,16
20200218,16,27,27,31,20,18
20200218,17,25,25,19,26,22
20200218,18,28,25,30,33,24
20200218,19,33,31,34,43,49
20200218,20,33,31,31,37,32
20200218,21,37,33,38,38,29
20200218,22,37,39,39,44,44
20200218,23,41,42,38,43,40
